"nationality","response","year"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
"Afghanistan","non-atheist","2012"
